iter	Passed	Remaining
0	22	22237
1	48	24335
2	73	24347
3	99	24770
4	122	24398
5	144	23932
6	166	23644
7	190	23592
8	217	23918
9	244	24250
10	272	24536
11	295	24302
12	322	24516
13	350	24716
14	377	24769
15	408	25128
16	438	25343
17	464	25314
18	489	25277
19	514	25200
20	533	24875
21	554	24662
22	573	24370
23	592	24096
24	613	23943
25	633	23713
26	654	23601
27	676	23469
28	695	23293
29	718	23216
30	738	23084
31	758	22957
32	780	22871
33	799	22727
34	818	22570
35	841	22540
36	862	22458
37	886	22432
38	904	22289
39	922	22140
40	944	22095
41	965	22028
42	986	21964
43	1006	21868
44	1029	21850
45	1054	21878
46	1078	21869
47	1101	21854
48	1131	21951
49	1158	22006
50	1185	22057
51	1215	22155
52	1248	22310
53	1274	22321
54	1299	22323
55	1325	22344
56	1349	22330
57	1378	22395
58	1410	22489
59	1434	22479
60	1458	22455
61	1482	22425
62	1507	22419
63	1533	22420
64	1556	22394
65	1580	22360
66	1605	22357
67	1630	22354
68	1655	22340
69	1681	22337
70	1706	22328
71	1731	22322
72	1755	22297
73	1779	22269
74	1803	22245
75	1826	22201
76	1846	22136
77	1870	22109
78	1891	22048
79	1913	21999
80	1938	21991
81	1960	21952
82	1982	21901
83	2006	21877
84	2027	21830
85	2050	21788
86	2071	21739
87	2092	21684
88	2112	21628
89	2134	21582
90	2156	21537
91	2179	21509
92	2201	21467
93	2222	21417
94	2244	21383
95	2267	21351
96	2290	21324
97	2311	21271
98	2334	21243
99	2356	21206
100	2378	21172
101	2400	21129
102	2422	21099
103	2448	21096
104	2468	21044
105	2491	21009
106	2511	20962
107	2533	20927
108	2554	20884
109	2575	20842
110	2596	20798
111	2619	20768
112	2643	20747
113	2666	20723
114	2690	20703
115	2711	20661
116	2733	20627
117	2755	20595
118	2775	20550
119	2797	20513
120	2819	20479
121	2839	20436
122	2859	20391
123	2880	20348
124	2902	20319
125	2924	20287
126	2946	20252
127	2971	20246
128	2993	20212
129	3015	20180
130	3036	20141
131	3056	20098
132	3075	20045
133	3095	20004
134	3115	19959
135	3134	19913
136	3154	19874
137	3174	19831
138	3201	19832
139	3227	19827
140	3260	19863
141	3293	19897
142	3322	19910
143	3355	19944
144	3381	19938
145	3406	19924
146	3430	19905
147	3456	19897
148	3481	19886
149	3509	19886
150	3530	19849
151	3552	19817
152	3572	19778
153	3595	19754
154	3641	19850
155	3674	19882
156	3705	19896
157	3725	19853
158	3747	19819
159	3767	19781
160	3786	19734
161	3805	19686
162	3825	19642
163	3844	19598
164	3864	19556
165	3887	19531
166	3908	19494
167	3930	19467
168	3952	19434
169	3974	19406
170	3995	19368
171	4017	19337
172	4037	19301
173	4057	19262
174	4077	19224
175	4098	19186
176	4117	19145
177	4138	19113
178	4158	19073
179	4179	19041
180	4202	19014
181	4222	18979
182	4252	18987
183	4278	18972
184	4302	18952
185	4322	18917
186	4344	18887
187	4364	18851
188	4386	18820
189	4406	18785
190	4426	18749
191	4447	18717
192	4468	18685
193	4488	18646
194	4510	18619
195	4531	18590
196	4553	18559
197	4576	18536
198	4600	18516
199	4622	18490
200	4646	18469
201	4667	18437
202	4688	18407
203	4709	18376
204	4730	18346
205	4751	18314
206	4773	18286
207	4795	18258
208	4819	18240
209	4842	18216
210	4866	18198
211	4889	18175
212	4910	18143
213	4931	18114
214	4956	18097
215	4980	18076
216	5002	18048
217	5023	18019
218	5044	17989
219	5067	17966
220	5091	17945
221	5112	17916
222	5133	17887
223	5153	17853
224	5178	17836
225	5200	17812
226	5225	17794
227	5247	17766
228	5270	17743
229	5291	17716
230	5315	17694
231	5339	17674
232	5360	17647
233	5383	17622
234	5405	17596
235	5426	17568
236	5447	17537
237	5471	17517
238	5492	17487
239	5514	17462
240	5535	17434
241	5559	17412
242	5580	17385
243	5605	17366
244	5625	17337
245	5645	17304
246	5668	17280
247	5688	17248
248	5711	17225
249	5714	17142
250	5735	17113
251	5754	17081
252	5775	17053
253	5796	17025
254	5821	17007
255	5845	16989
256	5872	16977
257	5894	16953
258	5917	16931
259	5938	16902
260	5959	16874
261	5979	16844
262	6001	16816
263	6021	16788
264	6040	16754
265	6063	16731
266	6090	16720
267	6120	16718
268	6146	16703
269	6175	16697
270	6207	16697
271	6231	16679
272	6257	16663
273	6284	16651
274	6316	16652
275	6345	16644
276	6371	16631
277	6401	16626
278	6430	16617
279	6451	16588
280	6474	16567
281	6496	16541
282	6519	16516
283	6541	16491
284	6564	16468
285	6586	16443
286	6607	16414
287	6630	16392
288	6653	16369
289	6675	16344
290	6696	16315
291	6719	16292
292	6739	16261
293	6759	16231
294	6779	16202
295	6802	16177
296	6825	16155
297	6847	16131
298	6868	16102
299	6888	16072
300	6908	16042
301	6935	16029
302	6966	16026
303	6994	16013
304	7018	15992
305	7042	15973
306	7064	15946
307	7084	15916
308	7104	15887
309	7127	15863
310	7149	15839
311	7175	15823
312	7198	15800
313	7221	15777
314	7243	15750
315	7263	15721
316	7285	15697
317	7308	15673
318	7329	15647
319	7352	15623
320	7361	15571
321	7385	15550
322	7413	15538
323	7438	15520
324	7461	15497
325	7486	15479
326	7509	15455
327	7532	15432
328	7559	15416
329	7587	15404
330	7613	15388
331	7639	15371
332	7668	15360
333	7700	15355
334	7726	15336
335	7756	15329
336	7788	15323
337	7824	15324
338	7857	15320
339	7891	15317
340	7921	15308
341	7955	15305
342	7989	15302
343	8023	15299
344	8059	15302
345	8096	15303
346	8132	15303
347	8162	15293
348	8191	15279
349	8225	15276
350	8256	15266
351	8279	15241
352	8303	15219
353	8341	15221
354	8378	15223
355	8409	15213
356	8449	15218
357	8481	15210
358	8513	15200
359	8553	15206
360	8588	15201
361	8622	15196
362	8651	15182
363	8680	15167
364	8714	15160
365	8746	15150
366	8777	15139
367	8809	15128
368	8838	15113
369	8863	15092
370	8894	15079
371	8933	15081
372	8945	15036
373	8986	15040
374	9025	15042
375	9056	15029
376	9086	15015
377	9120	15008
378	9156	15003
379	9201	15013
380	9231	14997
381	9258	14977
382	9283	14955
383	9310	14936
384	9340	14920
385	9363	14894
386	9390	14874
387	9419	14858
388	9447	14838
389	9473	14817
390	9496	14791
391	9519	14764
392	9540	14736
393	9561	14706
394	9585	14681
395	9609	14657
396	9633	14632
397	9655	14605
398	9680	14581
399	9710	14565
400	9744	14555
401	9781	14550
402	9807	14529
403	9831	14504
404	9854	14477
405	9877	14451
406	9901	14426
407	9930	14409
408	9961	14394
409	9989	14374
410	10015	14353
411	10045	14336
412	10071	14314
413	10099	14295
414	10126	14274
415	10155	14256
416	10179	14231
417	10202	14205
418	10228	14183
419	10256	14164
420	10284	14144
421	10306	14115
422	10329	14090
423	10353	14065
424	10375	14037
425	10399	14012
426	10423	13987
427	10447	13963
428	10473	13940
429	10500	13918
430	10525	13896
431	10551	13873
432	10577	13850
433	10600	13825
434	10626	13802
435	10650	13776
436	10677	13756
437	10703	13733
438	10728	13710
439	10757	13691
440	10800	13690
441	10831	13673
442	10860	13655
443	10889	13635
444	10913	13611
445	10940	13589
446	10967	13567
447	10990	13541
448	11015	13518
449	11043	13498
450	11070	13475
451	11095	13451
452	11123	13431
453	11148	13407
454	11171	13381
455	11195	13356
456	11221	13332
457	11244	13306
458	11270	13283
459	11292	13256
460	11318	13232
461	11344	13210
462	11375	13193
463	11407	13177
464	11440	13162
465	11469	13142
466	11496	13121
467	11522	13097
468	11546	13073
469	11573	13050
470	11600	13028
471	11623	13002
472	11650	12980
473	11676	12957
474	11700	12932
475	11726	12908
476	11753	12886
477	11781	12865
478	11804	12839
479	11828	12814
480	11851	12787
481	11877	12764
482	11903	12741
483	11975	12766
484	12032	12777
485	12091	12787
486	12133	12781
487	12165	12763
488	12212	12761
489	12245	12744
490	12273	12723
491	12312	12712
492	12349	12700
493	12391	12692
494	12417	12668
495	12441	12642
496	12468	12619
497	12494	12594
498	12519	12569
499	12544	12544
500	12570	12520
501	12598	12498
502	12631	12480
503	12657	12456
504	12685	12433
505	12713	12411
506	12738	12387
507	12761	12359
508	12784	12332
509	12816	12313
510	12849	12295
511	12889	12285
512	12924	12269
513	12968	12262
514	12996	12239
515	13024	12217
516	13054	12196
517	13086	12176
518	13118	12158
519	13154	12142
520	13181	12119
521	13208	12095
522	13236	12072
523	13261	12046
524	13288	12023
525	13322	12005
526	13359	11990
527	13391	11971
528	13422	11951
529	13448	11926
530	13477	11903
531	13507	11882
532	13532	11856
533	13562	11835
534	13594	11815
535	13628	11798
536	13665	11782
537	13696	11761
538	13730	11743
539	13764	11724
540	13798	11707
541	13831	11688
542	13859	11664
543	13882	11636
544	13911	11613
545	13935	11587
546	13959	11560
547	13984	11534
548	14016	11514
549	14038	11485
550	14066	11462
551	14088	11434
552	14109	11404
553	14131	11376
554	14156	11351
555	14182	11325
556	14211	11302
557	14238	11278
558	14268	11256
559	14294	11231
560	14316	11203
561	14340	11176
562	14361	11147
563	14383	11118
564	14405	11091
565	14427	11062
566	14449	11034
567	14470	11005
568	14494	10979
569	14519	10952
570	14545	10928
571	14571	10903
572	14606	10884
573	14630	10858
574	14652	10830
575	14673	10801
576	14696	10774
577	14722	10749
578	14745	10721
579	14769	10695
580	14795	10670
581	14818	10642
582	14839	10614
583	14860	10585
584	14882	10557
585	14905	10530
586	14930	10504
587	14953	10477
588	14976	10450
589	15001	10424
590	15026	10399
591	15049	10372
592	15073	10345
593	15096	10318
594	15122	10293
595	15149	10269
596	15176	10244
597	15207	10223
598	15239	10202
599	15268	10178
600	15295	10154
601	15324	10131
602	15351	10106
603	15375	10080
604	15402	10056
605	15426	10029
606	15451	10003
607	15481	9981
608	15516	9961
609	15545	9938
610	15575	9916
611	15601	9891
612	15633	9869
613	15664	9848
614	15700	9828
615	15729	9805
616	15763	9785
617	15807	9770
618	15849	9755
619	15908	9750
620	15960	9740
621	15996	9721
622	16026	9698
623	16055	9674
624	16081	9649
625	16108	9623
626	16134	9598
627	16168	9577
628	16204	9557
629	16241	9538
630	16273	9516
631	16323	9504
632	16354	9481
633	16382	9457
634	16404	9429
635	16427	9401
636	16449	9374
637	16474	9347
638	16500	9321
639	16526	9295
640	16552	9270
641	16575	9243
642	16599	9216
643	16622	9188
644	16645	9161
645	16666	9133
646	16692	9107
647	16717	9081
648	16742	9054
649	16766	9028
650	16790	9001
651	16814	8974
652	16838	8947
653	16863	8921
654	16887	8895
655	16912	8868
656	16937	8842
657	16962	8816
658	16987	8790
659	17013	8764
660	17037	8737
661	17060	8710
662	17084	8684
663	17113	8659
664	17142	8635
665	17167	8609
666	17201	8588
667	17242	8569
668	17278	8548
669	17319	8530
670	17353	8508
671	17378	8482
672	17402	8455
673	17429	8430
674	17454	8404
675	17479	8377
676	17502	8350
677	17531	8326
678	17559	8301
679	17585	8275
680	17607	8248
681	17633	8221
682	17657	8195
683	17682	8168
684	17704	8141
685	17728	8114
686	17751	8087
687	17774	8060
688	17797	8033
689	17819	8005
690	17846	7980
691	17868	7953
692	17894	7927
693	17920	7901
694	17946	7875
695	17974	7850
696	18002	7826
697	18026	7799
698	18048	7771
699	18070	7744
