iter	Passed	Remaining
0	18	18705
1	38	19449
2	57	19057
3	76	19120
4	96	19252
5	115	19118
6	136	19304
7	154	19164
8	173	19122
9	191	18911
10	209	18842
11	228	18806
12	248	18841
13	266	18762
14	285	18747
15	305	18760
16	324	18745
17	342	18673
18	359	18541
19	374	18371
20	391	18255
21	408	18153
22	423	17987
23	439	17863
24	454	17729
25	469	17601
26	485	17493
27	501	17402
28	517	17326
29	533	17238
30	550	17218
31	566	17149
32	583	17110
33	600	17066
34	616	17001
35	633	16950
36	650	16941
37	673	17058
38	695	17139
39	713	17131
40	731	17110
41	754	17209
42	775	17259
43	794	17264
44	811	17225
45	826	17143
46	843	17101
47	862	17100
48	879	17059
49	897	17045
50	919	17101
51	936	17079
52	959	17140
53	981	17195
54	1005	17278
55	1030	17373
56	1055	17461
57	1079	17536
58	1100	17550
59	1123	17605
60	1148	17683
61	1173	17751
62	1196	17802
63	1221	17860
64	1245	17920
65	1270	17986
66	1294	18025
67	1320	18103
68	1345	18157
69	1369	18195
70	1395	18262
71	1418	18288
72	1441	18307
73	1464	18331
74	1488	18355
75	1511	18382
76	1535	18409
77	1557	18408
78	1581	18431
79	1606	18469
80	1628	18474
81	1651	18491
82	1673	18494
83	1698	18517
84	1720	18524
85	1741	18508
86	1761	18482
87	1782	18475
88	1801	18443
89	1820	18404
90	1839	18376
91	1863	18393
92	1884	18379
93	1907	18386
94	1932	18414
95	1954	18407
96	1977	18409
97	1999	18401
98	2021	18399
99	2043	18390
100	2064	18380
101	2086	18373
102	2107	18357
103	2127	18330
104	2146	18294
105	2164	18253
106	2180	18199
107	2197	18149
108	2214	18101
109	2231	18053
110	2246	17995
111	2263	17944
112	2280	17901
113	2297	17853
114	2313	17806
115	2329	17754
116	2346	17707
117	2362	17658
118	2379	17619
119	2396	17570
120	2413	17532
121	2430	17488
122	2446	17445
123	2462	17394
124	2476	17338
125	2492	17288
126	2507	17238
127	2509	17098
128	2524	17048
129	2539	16998
130	2555	16951
131	2570	16905
132	2586	16860
133	2602	16820
134	2619	16785
135	2636	16748
136	2653	16715
137	2670	16678
138	2687	16646
139	2704	16613
140	2721	16581
141	2739	16553
142	2756	16521
143	2774	16491
144	2790	16456
145	2807	16424
146	2825	16395
147	2842	16366
148	2859	16329
149	2875	16296
150	2893	16266
151	2910	16234
152	2926	16200
153	2943	16169
154	2959	16135
155	2975	16100
156	2992	16068
157	3010	16040
158	3026	16009
159	3043	15978
160	3059	15946
161	3076	15914
162	3093	15886
163	3111	15859
164	3128	15834
165	3151	15835
166	3176	15845
167	3201	15856
168	3223	15851
169	3246	15849
170	3271	15860
171	3293	15853
172	3315	15851
173	3337	15843
174	3356	15822
175	3373	15794
176	3391	15767
177	3408	15740
178	3425	15710
179	3441	15679
180	3458	15648
181	3476	15623
182	3493	15595
183	3510	15566
184	3526	15537
185	3544	15512
186	3561	15484
187	3579	15458
188	3599	15445
189	3620	15435
190	3639	15416
191	3660	15404
192	3680	15389
193	3698	15366
194	3716	15343
195	3734	15319
196	3751	15292
197	3768	15265
198	3786	15239
199	3803	15214
200	3820	15186
201	3837	15160
202	3855	15135
203	3871	15106
204	3887	15077
205	3904	15048
206	3920	15019
207	3936	14989
208	3952	14960
209	3969	14933
210	3986	14905
211	4002	14877
212	4018	14849
213	4035	14820
214	4052	14796
215	4068	14767
216	4085	14740
217	4101	14712
218	4118	14688
219	4135	14661
220	4151	14633
221	4168	14607
222	4184	14579
223	4201	14553
224	4217	14526
225	4233	14498
226	4251	14477
227	4268	14452
228	4285	14426
229	4301	14401
230	4318	14375
231	4338	14363
232	4358	14347
233	4379	14336
234	4400	14323
235	4421	14313
236	4442	14303
237	4464	14292
238	4482	14273
239	4501	14253
240	4519	14232
241	4537	14213
242	4555	14191
243	4572	14168
244	4590	14147
245	4608	14124
246	4624	14099
247	4642	14077
248	4659	14051
249	4675	14027
250	4693	14005
251	4710	13980
252	4726	13956
253	4742	13930
254	4759	13905
255	4776	13882
256	4793	13857
257	4809	13831
258	4826	13808
259	4842	13783
260	4858	13756
261	4875	13732
262	4891	13707
263	4908	13683
264	4924	13659
265	4941	13634
266	4958	13612
267	4974	13588
268	4991	13563
269	5007	13538
270	5024	13515
271	5040	13490
272	5057	13466
273	5073	13443
274	5090	13419
275	5107	13398
276	5124	13374
277	5140	13351
278	5157	13327
279	5174	13304
280	5190	13279
281	5206	13256
282	5223	13233
283	5238	13208
284	5255	13184
285	5272	13163
286	5288	13139
287	5305	13117
288	5322	13094
289	5338	13069
290	5355	13047
291	5371	13023
292	5387	13000
293	5404	12978
294	5421	12955
295	5437	12933
296	5454	12910
297	5470	12886
298	5486	12862
299	5502	12839
300	5518	12815
301	5535	12793
302	5551	12770
303	5568	12749
304	5584	12726
305	5601	12705
306	5618	12682
307	5634	12659
308	5650	12636
309	5669	12618
310	5685	12596
311	5702	12573
312	5718	12551
313	5734	12529
314	5751	12506
315	5767	12484
316	5784	12463
317	5801	12442
318	5817	12420
319	5834	12398
320	5851	12377
321	5867	12355
322	5884	12334
323	5900	12311
324	5917	12290
325	5935	12271
326	5952	12250
327	5968	12228
328	5986	12208
329	6001	12185
330	6017	12162
331	6034	12140
332	6050	12118
333	6066	12096
334	6082	12074
335	6099	12053
336	6115	12032
337	6132	12010
338	6148	11988
339	6164	11967
340	6181	11946
341	6198	11925
342	6214	11904
343	6231	11884
344	6248	11862
345	6264	11840
346	6280	11818
347	6296	11797
348	6313	11776
349	6330	11756
350	6347	11736
351	6363	11714
352	6379	11693
353	6397	11673
354	6413	11653
355	6430	11633
356	6447	11613
357	6463	11591
358	6479	11569
359	6496	11548
360	6513	11528
361	6530	11508
362	6546	11488
363	6562	11466
364	6578	11444
365	6594	11423
366	6610	11402
367	6627	11381
368	6643	11361
369	6660	11340
370	6677	11321
371	6694	11301
372	6710	11280
373	6727	11259
374	6743	11238
375	6760	11218
376	6776	11198
377	6792	11177
378	6810	11159
379	6827	11138
380	6844	11119
381	6861	11099
382	6877	11079
383	6893	11058
384	6910	11038
385	6927	11018
386	6943	10998
387	6960	10978
388	6976	10958
389	6993	10938
390	7009	10917
391	7026	10898
392	7043	10878
393	7059	10857
394	7075	10837
395	7092	10817
396	7108	10797
397	7125	10777
398	7141	10757
399	7158	10737
400	7176	10719
401	7192	10700
402	7209	10680
403	7226	10660
404	7242	10640
405	7259	10620
406	7275	10600
407	7292	10581
408	7309	10562
409	7326	10542
410	7342	10522
411	7358	10502
412	7375	10483
413	7392	10464
414	7409	10445
415	7426	10425
416	7442	10405
417	7459	10385
418	7476	10366
419	7493	10348
420	7510	10328
421	7529	10312
422	7546	10293
423	7562	10273
424	7578	10253
425	7594	10233
426	7611	10213
427	7627	10193
428	7643	10174
429	7660	10154
430	7676	10134
431	7695	10118
432	7716	10104
433	7738	10091
434	7758	10076
435	7778	10061
436	7799	10048
437	7817	10030
438	7835	10012
439	7853	9994
440	7872	9978
441	7890	9961
442	7908	9943
443	7927	9926
444	7945	9909
445	7963	9891
446	7982	9874
447	7999	9857
448	8017	9839
449	8036	9822
450	8054	9804
451	8073	9787
452	8092	9771
453	8110	9754
454	8128	9736
455	8146	9718
456	8165	9702
457	8185	9686
458	8204	9670
459	8225	9655
460	8244	9639
461	8263	9622
462	8279	9603
463	8296	9583
464	8313	9565
465	8330	9546
466	8347	9526
467	8364	9508
468	8381	9489
469	8398	9470
470	8415	9451
471	8431	9431
472	8448	9412
473	8465	9394
474	8482	9375
475	8499	9356
476	8515	9336
477	8532	9317
478	8548	9298
479	8565	9279
480	8582	9260
481	8599	9241
482	8616	9222
483	8634	9205
484	8652	9187
485	8670	9169
486	8687	9151
487	8704	9133
488	8722	9114
489	8739	9096
490	8756	9077
491	8773	9058
492	8790	9040
493	8807	9021
494	8824	9002
495	8841	8983
496	8857	8964
497	8874	8945
498	8891	8927
499	8908	8908
500	8924	8889
501	8941	8870
502	8958	8851
503	8975	8833
504	8992	8814
505	9009	8795
506	9026	8777
507	9043	8758
508	9060	8739
509	9076	8720
510	9093	8701
511	9109	8682
512	9126	8663
513	9142	8644
514	9159	8625
515	9175	8606
516	9192	8587
517	9208	8568
518	9225	8550
519	9242	8531
520	9258	8512
521	9276	8494
522	9293	8475
523	9310	8457
524	9327	8438
525	9344	8420
526	9360	8401
527	9377	8383
528	9394	8364
529	9410	8345
530	9427	8326
531	9443	8307
532	9460	8288
533	9477	8270
534	9493	8251
535	9510	8233
536	9528	8215
537	9544	8196
538	9561	8177
539	9577	8158
540	9593	8139
541	9610	8120
542	9627	8102
543	9644	8083
544	9660	8065
545	9677	8046
546	9693	8027
547	9710	8009
548	9728	7991
549	9744	7972
550	9761	7954
551	9777	7935
552	9794	7917
553	9811	7899
554	9828	7880
555	9845	7862
556	9862	7843
557	9879	7825
558	9895	7806
559	9912	7788
560	9928	7769
561	9944	7750
562	9961	7731
563	9977	7713
564	9994	7694
565	10010	7675
566	10027	7657
567	10044	7639
568	10060	7620
569	10077	7602
570	10093	7583
571	10110	7565
572	10127	7546
573	10144	7528
574	10160	7510
575	10177	7492
576	10194	7473
577	10210	7454
578	10227	7436
579	10244	7418
580	10260	7399
581	10277	7381
582	10294	7363
583	10311	7345
584	10328	7326
585	10344	7308
586	10361	7290
587	10378	7271
588	10395	7253
589	10411	7235
590	10428	7216
591	10444	7198
592	10461	7180
593	10477	7161
594	10495	7144
595	10514	7127
596	10532	7109
597	10550	7092
598	10570	7076
599	10589	7059
600	10607	7042
601	10626	7025
602	10644	7007
603	10660	6989
604	10678	6971
605	10695	6953
606	10712	6935
607	10728	6917
608	10745	6899
609	10762	6881
610	10779	6862
611	10796	6845
612	10813	6826
613	10830	6808
614	10846	6789
615	10862	6771
616	10872	6749
617	10889	6731
618	10906	6712
619	10922	6694
620	10938	6676
621	10955	6657
622	10972	6639
623	10988	6621
624	11005	6603
625	11024	6586
626	11041	6568
627	11059	6551
628	11077	6533
629	11094	6516
630	11113	6498
631	11130	6481
632	11148	6463
633	11165	6445
634	11184	6428
635	11203	6411
636	11222	6395
637	11241	6378
638	11260	6361
639	11281	6346
640	11302	6329
641	11320	6312
642	11338	6295
643	11356	6277
644	11374	6260
645	11392	6242
646	11410	6225
647	11432	6210
648	11453	6194
649	11473	6178
650	11495	6162
651	11518	6147
652	11537	6130
653	11556	6114
654	11576	6097
655	11594	6079
656	11613	6063
657	11632	6046
658	11650	6028
659	11668	6011
660	11687	5994
661	11706	5976
662	11724	5959
663	11742	5941
664	11762	5925
665	11782	5908
666	11801	5891
667	11820	5875
668	11841	5858
669	11862	5842
670	11882	5826
671	11902	5809
672	11922	5793
673	11941	5775
674	11961	5759
675	11981	5742
676	11999	5725
677	12018	5708
678	12038	5691
679	12058	5674
680	12077	5657
681	12096	5640
682	12114	5622
683	12132	5605
684	12150	5587
685	12168	5569
686	12186	5552
687	12204	5534
688	12223	5517
689	12241	5499
690	12263	5483
